"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Day","moduleColor","slim_term","Gene_IDs"
"1","GO:0000086",34,0.00399933483518304,0.998681251877262,13,46,"G2/M transition of mitotic cell cycle","BP","Day0","midnightblue","mitotic cell cycle","PGEN_.00g002750;PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g045020;PGEN_.00g045510;PGEN_.00g056490;PGEN_.00g060920;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g115710;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g140150;PGEN_.00g145440;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g203470;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g276590;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g286100;PGEN_.00g290540;PGEN_.00g307980;PGEN_.00g336900"
"2","GO:0000086",34,0.00399933483518304,0.998681251877262,13,46,"G2/M transition of mitotic cell cycle","BP","Day0","midnightblue","cell cycle","PGEN_.00g002750;PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g045020;PGEN_.00g045510;PGEN_.00g056490;PGEN_.00g060920;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g115710;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g140150;PGEN_.00g145440;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g203470;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g276590;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g286100;PGEN_.00g290540;PGEN_.00g307980;PGEN_.00g336900"
"3","GO:0000122",29,0.00243943146907068,0.998438489678942,68,402,"negative regulation of transcription by RNA polymerase II","BP","Day0","midnightblue","cellular nitrogen compound metaboli...","PGEN_.00g000980;PGEN_.00g001890;PGEN_.00g002750;PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g006850;PGEN_.00g008040;PGEN_.00g008360;PGEN_.00g009420;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g011050;PGEN_.00g012890;PGEN_.00g014620;PGEN_.00g014650;PGEN_.00g015860;PGEN_.00g018000;PGEN_.00g019200;PGEN_.00g019830;PGEN_.00g020710;PGEN_.00g023690;PGEN_.00g024890;PGEN_.00g024930;PGEN_.00g025590;PGEN_.00g026980;PGEN_.00g030010;PGEN_.00g030430;PGEN_.00g031510;PGEN_.00g031670;PGEN_.00g031680;PGEN_.00g033440;PGEN_.00g033970;PGEN_.00g037040;PGEN_.00g041700;PGEN_.00g045000;PGEN_.00g046500;PGEN_.00g050080;PGEN_.00g053860;PGEN_.00g054390;PGEN_.00g056190;PGEN_.00g056570;PGEN_.00g058770;PGEN_.00g060430;PGEN_.00g061400;PGEN_.00g061850;PGEN_.00g062160;PGEN_.00g062540;PGEN_.00g070480;PGEN_.00g072730;PGEN_.00g073960;PGEN_.00g076010;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082600;PGEN_.00g082680;PGEN_.00g083520;PGEN_.00g083570;PGEN_.00g083640;PGEN_.00g083780;PGEN_.00g085690;PGEN_.00g089770;PGEN_.00g089960;PGEN_.00g091180;PGEN_.00g091210;PGEN_.00g091700;PGEN_.00g091720;PGEN_.00g092440;PGEN_.00g095530;PGEN_.00g100020;PGEN_.00g100070;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g104790;PGEN_.00g104810;PGEN_.00g108630;PGEN_.00g112400;PGEN_.00g114390;PGEN_.00g115390;PGEN_.00g115710;PGEN_.00g115950;PGEN_.00g120670;PGEN_.00g122420;PGEN_.00g122660;PGEN_.00g128120;PGEN_.00g128160;PGEN_.00g129980;PGEN_.00g130030;PGEN_.00g131820;PGEN_.00g132260;PGEN_.00g135220;PGEN_.00g139150;PGEN_.00g140150;PGEN_.00g146140;PGEN_.00g147990;PGEN_.00g152060;PGEN_.00g153860;PGEN_.00g154680;PGEN_.00g155000;PGEN_.00g156290;PGEN_.00g158010;PGEN_.00g159950;PGEN_.00g161080;PGEN_.00g162180;PGEN_.00g165840;PGEN_.00g165850;PGEN_.00g167600;PGEN_.00g168240;PGEN_.00g168650;PGEN_.00g170110;PGEN_.00g171960;PGEN_.00g172090;PGEN_.00g172530;PGEN_.00g173610;PGEN_.00g174090;PGEN_.00g176580;PGEN_.00g177960;PGEN_.00g180930;PGEN_.00g181300;PGEN_.00g183780;PGEN_.00g183970;PGEN_.00g187250;PGEN_.00g188700;PGEN_.00g190420;PGEN_.00g190960;PGEN_.00g191370;PGEN_.00g194150;PGEN_.00g194640;PGEN_.00g195290;PGEN_.00g199160;PGEN_.00g200710;PGEN_.00g204410;PGEN_.00g204470;PGEN_.00g205590;PGEN_.00g206100;PGEN_.00g206220;PGEN_.00g211680;PGEN_.00g213360;PGEN_.00g213370;PGEN_.00g213520;PGEN_.00g216480;PGEN_.00g219110;PGEN_.00g220320;PGEN_.00g220340;PGEN_.00g226300;PGEN_.00g229770;PGEN_.00g230480;PGEN_.00g233980;PGEN_.00g236080;PGEN_.00g236720;PGEN_.00g236820;PGEN_.00g237640;PGEN_.00g238130;PGEN_.00g238280;PGEN_.00g239060;PGEN_.00g239600;PGEN_.00g239680;PGEN_.00g242070;PGEN_.00g243790;PGEN_.00g244000;PGEN_.00g245360;PGEN_.00g245530;PGEN_.00g246100;PGEN_.00g246930;PGEN_.00g247690;PGEN_.00g248180;PGEN_.00g248490;PGEN_.00g248800;PGEN_.00g250220;PGEN_.00g250800;PGEN_.00g251460;PGEN_.00g251490;PGEN_.00g253110;PGEN_.00g256280;PGEN_.00g256370;PGEN_.00g256920;PGEN_.00g258390;PGEN_.00g258920;PGEN_.00g264140;PGEN_.00g264620;PGEN_.00g266410;PGEN_.00g267200;PGEN_.00g269060;PGEN_.00g271400;PGEN_.00g271420;PGEN_.00g273200;PGEN_.00g279490;PGEN_.00g283870;PGEN_.00g284000;PGEN_.00g285380;PGEN_.00g287150;PGEN_.00g290870;PGEN_.00g291370;PGEN_.00g291950;PGEN_.00g293540;PGEN_.00g303640;PGEN_.00g305440;PGEN_.00g305470;PGEN_.00g305680;PGEN_.00g306030;PGEN_.00g308890;PGEN_.00g309000;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g322940;PGEN_.00g325240;PGEN_.00g325390;PGEN_.00g326300;PGEN_.00g327330;PGEN_.00g329270;PGEN_.00g329330;PGEN_.00g332300;PGEN_.00g332310;PGEN_.00g332640;PGEN_.00g332800;PGEN_.00g347630;PGEN_.00g348260;PGEN_.00g348540;PGEN_.00g348700"
"4","GO:0000122",29,0.00243943146907068,0.998438489678942,68,402,"negative regulation of transcription by RNA polymerase II","BP","Day0","midnightblue","biosynthetic process","PGEN_.00g001890;PGEN_.00g002750;PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g006850;PGEN_.00g008040;PGEN_.00g008360;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g011050;PGEN_.00g012890;PGEN_.00g014620;PGEN_.00g014650;PGEN_.00g015860;PGEN_.00g019830;PGEN_.00g023690;PGEN_.00g024890;PGEN_.00g024930;PGEN_.00g025590;PGEN_.00g026980;PGEN_.00g030010;PGEN_.00g030430;PGEN_.00g031510;PGEN_.00g031670;PGEN_.00g031680;PGEN_.00g033440;PGEN_.00g033970;PGEN_.00g041700;PGEN_.00g045000;PGEN_.00g046500;PGEN_.00g050080;PGEN_.00g053860;PGEN_.00g054390;PGEN_.00g056570;PGEN_.00g058770;PGEN_.00g061400;PGEN_.00g061850;PGEN_.00g062160;PGEN_.00g062540;PGEN_.00g070480;PGEN_.00g072730;PGEN_.00g076010;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082680;PGEN_.00g083520;PGEN_.00g083640;PGEN_.00g085690;PGEN_.00g089770;PGEN_.00g091700;PGEN_.00g091720;PGEN_.00g092440;PGEN_.00g095530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g104790;PGEN_.00g104810;PGEN_.00g108630;PGEN_.00g112400;PGEN_.00g114390;PGEN_.00g115390;PGEN_.00g115950;PGEN_.00g120670;PGEN_.00g122420;PGEN_.00g128120;PGEN_.00g128160;PGEN_.00g129980;PGEN_.00g130030;PGEN_.00g132260;PGEN_.00g135220;PGEN_.00g139150;PGEN_.00g140150;PGEN_.00g147990;PGEN_.00g152060;PGEN_.00g153860;PGEN_.00g154680;PGEN_.00g155000;PGEN_.00g158010;PGEN_.00g159950;PGEN_.00g165840;PGEN_.00g165850;PGEN_.00g168240;PGEN_.00g168650;PGEN_.00g171960;PGEN_.00g172090;PGEN_.00g172530;PGEN_.00g173610;PGEN_.00g174090;PGEN_.00g176580;PGEN_.00g177960;PGEN_.00g180930;PGEN_.00g181300;PGEN_.00g187250;PGEN_.00g188700;PGEN_.00g190420;PGEN_.00g194150;PGEN_.00g194640;PGEN_.00g199160;PGEN_.00g204470;PGEN_.00g206100;PGEN_.00g211680;PGEN_.00g213360;PGEN_.00g213370;PGEN_.00g213520;PGEN_.00g216480;PGEN_.00g219110;PGEN_.00g220340;PGEN_.00g226300;PGEN_.00g229770;PGEN_.00g233980;PGEN_.00g236080;PGEN_.00g236720;PGEN_.00g238130;PGEN_.00g239060;PGEN_.00g242070;PGEN_.00g244000;PGEN_.00g245360;PGEN_.00g247690;PGEN_.00g248180;PGEN_.00g248800;PGEN_.00g250800;PGEN_.00g251460;PGEN_.00g251490;PGEN_.00g256280;PGEN_.00g256370;PGEN_.00g256920;PGEN_.00g258920;PGEN_.00g264620;PGEN_.00g267200;PGEN_.00g271400;PGEN_.00g271420;PGEN_.00g279490;PGEN_.00g283870;PGEN_.00g284000;PGEN_.00g285380;PGEN_.00g287150;PGEN_.00g291950;PGEN_.00g293540;PGEN_.00g303640;PGEN_.00g305470;PGEN_.00g305680;PGEN_.00g306030;PGEN_.00g308890;PGEN_.00g309000;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g322940;PGEN_.00g325240;PGEN_.00g325390;PGEN_.00g326300;PGEN_.00g327330;PGEN_.00g329270;PGEN_.00g332300;PGEN_.00g332800;PGEN_.00g348260;PGEN_.00g348540;PGEN_.00g348700"
"5","GO:0000187",60,0.0300279314134588,0.987702653939585,11,49,"activation of MAPK activity","BP","Day0","midnightblue","signal transduction","PGEN_.00g006850;PGEN_.00g010630;PGEN_.00g012890;PGEN_.00g014650;PGEN_.00g019830;PGEN_.00g032120;PGEN_.00g039180;PGEN_.00g041700;PGEN_.00g050090;PGEN_.00g050460;PGEN_.00g053030;PGEN_.00g053840;PGEN_.00g058770;PGEN_.00g061730;PGEN_.00g072730;PGEN_.00g073720;PGEN_.00g080070;PGEN_.00g081800;PGEN_.00g083520;PGEN_.00g089770;PGEN_.00g091150;PGEN_.00g092020;PGEN_.00g102020;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g114810;PGEN_.00g122980;PGEN_.00g128160;PGEN_.00g137730;PGEN_.00g149960;PGEN_.00g153860;PGEN_.00g154750;PGEN_.00g155000;PGEN_.00g164120;PGEN_.00g165840;PGEN_.00g167910;PGEN_.00g170110;PGEN_.00g170430;PGEN_.00g173610;PGEN_.00g174130;PGEN_.00g177960;PGEN_.00g181010;PGEN_.00g183550;PGEN_.00g188700;PGEN_.00g196840;PGEN_.00g197620;PGEN_.00g204470;PGEN_.00g212520;PGEN_.00g213370;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g220660;PGEN_.00g220730;PGEN_.00g224620;PGEN_.00g228890;PGEN_.00g229770;PGEN_.00g238110;PGEN_.00g240130;PGEN_.00g240240;PGEN_.00g242070;PGEN_.00g245100;PGEN_.00g246900;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g250180;PGEN_.00g250480;PGEN_.00g250810;PGEN_.00g250820;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g258830;PGEN_.00g258970;PGEN_.00g270660;PGEN_.00g271400;PGEN_.00g271420;PGEN_.00g283980;PGEN_.00g285380;PGEN_.00g293540;PGEN_.00g316170;PGEN_.00g317900;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g321850;PGEN_.00g323240;PGEN_.00g324280;PGEN_.00g327960;PGEN_.00g348700"
"6","GO:0000187",60,0.0300279314134588,0.987702653939585,11,49,"activation of MAPK activity","BP","Day0","midnightblue","cellular protein modification proce...","PGEN_.00g001030;PGEN_.00g003210;PGEN_.00g004120;PGEN_.00g006850;PGEN_.00g008060;PGEN_.00g008070;PGEN_.00g014620;PGEN_.00g016570;PGEN_.00g017180;PGEN_.00g021630;PGEN_.00g023770;PGEN_.00g023910;PGEN_.00g025590;PGEN_.00g026980;PGEN_.00g027060;PGEN_.00g032560;PGEN_.00g039180;PGEN_.00g041700;PGEN_.00g044780;PGEN_.00g045120;PGEN_.00g051540;PGEN_.00g053030;PGEN_.00g055950;PGEN_.00g056190;PGEN_.00g056570;PGEN_.00g056780;PGEN_.00g061710;PGEN_.00g062050;PGEN_.00g062320;PGEN_.00g062480;PGEN_.00g063070;PGEN_.00g064570;PGEN_.00g064580;PGEN_.00g069080;PGEN_.00g072730;PGEN_.00g076010;PGEN_.00g080070;PGEN_.00g082600;PGEN_.00g083520;PGEN_.00g087190;PGEN_.00g091150;PGEN_.00g091210;PGEN_.00g091490;PGEN_.00g091700;PGEN_.00g100070;PGEN_.00g100450;PGEN_.00g108040;PGEN_.00g117650;PGEN_.00g117670;PGEN_.00g122170;PGEN_.00g128160;PGEN_.00g131630;PGEN_.00g131900;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139150;PGEN_.00g140080;PGEN_.00g145380;PGEN_.00g145440;PGEN_.00g146460;PGEN_.00g149960;PGEN_.00g150610;PGEN_.00g150730;PGEN_.00g152520;PGEN_.00g155000;PGEN_.00g162330;PGEN_.00g163220;PGEN_.00g164120;PGEN_.00g165370;PGEN_.00g165840;PGEN_.00g165850;PGEN_.00g170110;PGEN_.00g170430;PGEN_.00g172090;PGEN_.00g173610;PGEN_.00g174090;PGEN_.00g174130;PGEN_.00g177910;PGEN_.00g177960;PGEN_.00g181080;PGEN_.00g182540;PGEN_.00g182630;PGEN_.00g184290;PGEN_.00g184340;PGEN_.00g185110;PGEN_.00g194150;PGEN_.00g196840;PGEN_.00g197100;PGEN_.00g197620;PGEN_.00g200710;PGEN_.00g200760;PGEN_.00g201170;PGEN_.00g204470;PGEN_.00g206220;PGEN_.00g206570;PGEN_.00g210210;PGEN_.00g210940;PGEN_.00g211050;PGEN_.00g211860;PGEN_.00g212520;PGEN_.00g213430;PGEN_.00g213460;PGEN_.00g214900;PGEN_.00g216080;PGEN_.00g216710;PGEN_.00g218100;PGEN_.00g218850;PGEN_.00g218880;PGEN_.00g220300;PGEN_.00g223150;PGEN_.00g223190;PGEN_.00g223690;PGEN_.00g224980;PGEN_.00g228650;PGEN_.00g228890;PGEN_.00g233980;PGEN_.00g238100;PGEN_.00g238110;PGEN_.00g238290;PGEN_.00g238920;PGEN_.00g238930;PGEN_.00g239060;PGEN_.00g239070;PGEN_.00g240130;PGEN_.00g242070;PGEN_.00g244000;PGEN_.00g245100;PGEN_.00g246900;PGEN_.00g248070;PGEN_.00g248150;PGEN_.00g248180;PGEN_.00g250180;PGEN_.00g250480;PGEN_.00g250800;PGEN_.00g250810;PGEN_.00g250820;PGEN_.00g251680;PGEN_.00g254630;PGEN_.00g256110;PGEN_.00g256280;PGEN_.00g256920;PGEN_.00g258280;PGEN_.00g258830;PGEN_.00g258920;PGEN_.00g259910;PGEN_.00g264160;PGEN_.00g264170;PGEN_.00g270660;PGEN_.00g272080;PGEN_.00g273950;PGEN_.00g276540;PGEN_.00g280370;PGEN_.00g283980;PGEN_.00g286580;PGEN_.00g291370;PGEN_.00g297430;PGEN_.00g298110;PGEN_.00g301780;PGEN_.00g305470;PGEN_.00g306720;PGEN_.00g312430;PGEN_.00g316150;PGEN_.00g316170;PGEN_.00g317900;PGEN_.00g320980;PGEN_.00g323240;PGEN_.00g324280;PGEN_.00g329270;PGEN_.00g332040;PGEN_.00g348700"
"7","GO:0000281",21,0.000513698407456005,0.999803815025701,23,89,"mitotic cytokinesis","BP","Day0","midnightblue","mitotic cell cycle","PGEN_.00g002750;PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g045020;PGEN_.00g045510;PGEN_.00g056490;PGEN_.00g060920;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g115710;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g140150;PGEN_.00g145440;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g203470;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g276590;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g286100;PGEN_.00g290540;PGEN_.00g307980;PGEN_.00g336900"
"8","GO:0000281",21,0.000513698407456005,0.999803815025701,23,89,"mitotic cytokinesis","BP","Day0","midnightblue","cell cycle","PGEN_.00g002750;PGEN_.00g011250;PGEN_.00g011280;PGEN_.00g017180;PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g045020;PGEN_.00g045510;PGEN_.00g056490;PGEN_.00g060920;PGEN_.00g062370;PGEN_.00g074100;PGEN_.00g074110;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g115710;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g140150;PGEN_.00g145440;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g160920;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g203470;PGEN_.00g261750;PGEN_.00g274200;PGEN_.00g276590;PGEN_.00g277450;PGEN_.00g280370;PGEN_.00g286100;PGEN_.00g290540;PGEN_.00g307980;PGEN_.00g336900"
"9","GO:0000281",21,0.000513698407456005,0.999803815025701,23,89,"mitotic cytokinesis","BP","Day0","midnightblue","cell division","PGEN_.00g017720;PGEN_.00g022310;PGEN_.00g045020;PGEN_.00g045510;PGEN_.00g056490;PGEN_.00g060920;PGEN_.00g062370;PGEN_.00g079740;PGEN_.00g088500;PGEN_.00g093580;PGEN_.00g138110;PGEN_.00g138120;PGEN_.00g145440;PGEN_.00g152970;PGEN_.00g153140;PGEN_.00g179830;PGEN_.00g186690;PGEN_.00g200450;PGEN_.00g276590;PGEN_.00g286100;PGEN_.00g290540;PGEN_.00g307980;PGEN_.00g336900"
"10","GO:0000381",59,0.029250560597407,0.988123788245815,11,47,"regulation of alternative mRNA splicing, via spliceosome","BP","Day0","midnightblue","cellular nitrogen compound metaboli...","PGEN_.00g000980;PGEN_.00g001890;PGEN_.00g002750;PGEN_.00g006280;PGEN_.00g006290;PGEN_.00g006850;PGEN_.00g008040;PGEN_.00g008360;PGEN_.00g009420;PGEN_.00g009970;PGEN_.00g009980;PGEN_.00g011050;PGEN_.00g012890;PGEN_.00g014620;PGEN_.00g014650;PGEN_.00g015860;PGEN_.00g018000;PGEN_.00g019200;PGEN_.00g019830;PGEN_.00g020710;PGEN_.00g023690;PGEN_.00g024890;PGEN_.00g024930;PGEN_.00g025590;PGEN_.00g026980;PGEN_.00g030010;PGEN_.00g030430;PGEN_.00g031510;PGEN_.00g031670;PGEN_.00g031680;PGEN_.00g033440;PGEN_.00g033970;PGEN_.00g037040;PGEN_.00g041700;PGEN_.00g045000;PGEN_.00g046500;PGEN_.00g050080;PGEN_.00g053860;PGEN_.00g054390;PGEN_.00g056190;PGEN_.00g056570;PGEN_.00g058770;PGEN_.00g060430;PGEN_.00g061400;PGEN_.00g061850;PGEN_.00g062160;PGEN_.00g062540;PGEN_.00g070480;PGEN_.00g072730;PGEN_.00g073960;PGEN_.00g076010;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082600;PGEN_.00g082680;PGEN_.00g083520;PGEN_.00g083570;PGEN_.00g083640;PGEN_.00g083780;PGEN_.00g085690;PGEN_.00g089770;PGEN_.00g089960;PGEN_.00g091180;PGEN_.00g091210;PGEN_.00g091700;PGEN_.00g091720;PGEN_.00g092440;PGEN_.00g095530;PGEN_.00g100020;PGEN_.00g100070;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g104790;PGEN_.00g104810;PGEN_.00g108630;PGEN_.00g112400;PGEN_.00g114390;PGEN_.00g115390;PGEN_.00g115710;PGEN_.00g115950;PGEN_.00g120670;PGEN_.00g122420;PGEN_.00g122660;PGEN_.00g128120;PGEN_.00g128160;PGEN_.00g129980;PGEN_.00g130030;PGEN_.00g131820;PGEN_.00g132260;PGEN_.00g135220;PGEN_.00g139150;PGEN_.00g140150;PGEN_.00g146140;PGEN_.00g147990;PGEN_.00g152060;PGEN_.00g153860;PGEN_.00g154680;PGEN_.00g155000;PGEN_.00g156290;PGEN_.00g158010;PGEN_.00g159950;PGEN_.00g161080;PGEN_.00g162180;PGEN_.00g165840;PGEN_.00g165850;PGEN_.00g167600;PGEN_.00g168240;PGEN_.00g168650;PGEN_.00g170110;PGEN_.00g171960;PGEN_.00g172090;PGEN_.00g172530;PGEN_.00g173610;PGEN_.00g174090;PGEN_.00g176580;PGEN_.00g177960;PGEN_.00g180930;PGEN_.00g181300;PGEN_.00g183780;PGEN_.00g183970;PGEN_.00g187250;PGEN_.00g188700;PGEN_.00g190420;PGEN_.00g190960;PGEN_.00g191370;PGEN_.00g194150;PGEN_.00g194640;PGEN_.00g195290;PGEN_.00g199160;PGEN_.00g200710;PGEN_.00g204410;PGEN_.00g204470;PGEN_.00g205590;PGEN_.00g206100;PGEN_.00g206220;PGEN_.00g211680;PGEN_.00g213360;PGEN_.00g213370;PGEN_.00g213520;PGEN_.00g216480;PGEN_.00g219110;PGEN_.00g220320;PGEN_.00g220340;PGEN_.00g226300;PGEN_.00g229770;PGEN_.00g230480;PGEN_.00g233980;PGEN_.00g236080;PGEN_.00g236720;PGEN_.00g236820;PGEN_.00g237640;PGEN_.00g238130;PGEN_.00g238280;PGEN_.00g239060;PGEN_.00g239600;PGEN_.00g239680;PGEN_.00g242070;PGEN_.00g243790;PGEN_.00g244000;PGEN_.00g245360;PGEN_.00g245530;PGEN_.00g246100;PGEN_.00g246930;PGEN_.00g247690;PGEN_.00g248180;PGEN_.00g248490;PGEN_.00g248800;PGEN_.00g250220;PGEN_.00g250800;PGEN_.00g251460;PGEN_.00g251490;PGEN_.00g253110;PGEN_.00g256280;PGEN_.00g256370;PGEN_.00g256920;PGEN_.00g258390;PGEN_.00g258920;PGEN_.00g264140;PGEN_.00g264620;PGEN_.00g266410;PGEN_.00g267200;PGEN_.00g269060;PGEN_.00g271400;PGEN_.00g271420;PGEN_.00g273200;PGEN_.00g279490;PGEN_.00g283870;PGEN_.00g284000;PGEN_.00g285380;PGEN_.00g287150;PGEN_.00g290870;PGEN_.00g291370;PGEN_.00g291950;PGEN_.00g293540;PGEN_.00g303640;PGEN_.00g305440;PGEN_.00g305470;PGEN_.00g305680;PGEN_.00g306030;PGEN_.00g308890;PGEN_.00g309000;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g322940;PGEN_.00g325240;PGEN_.00g325390;PGEN_.00g326300;PGEN_.00g327330;PGEN_.00g329270;PGEN_.00g329330;PGEN_.00g332300;PGEN_.00g332310;PGEN_.00g332640;PGEN_.00g332800;PGEN_.00g347630;PGEN_.00g348260;PGEN_.00g348540;PGEN_.00g348700"
